Rider,Number,Bike,"Les Gets - 2024 Class","Les Gets - 2024 Cost","Les Gets - 2024 Status","Val di Sole - 2024 Class","Val di Sole - 2024 Position","Val di Sole - 2024 Points","Leogang - 2024 Class","Leogang - 2024 Position","Leogang - 2024 Points","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Felix Bauer",,,"Elite Men",10000,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernanda Gildemeister Menzel",,,"Elite Women",20000,Out,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernando Juan Munoz",,"Pureriding BP Racing","Elite Men",67000,,"Elite Men",DNS,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,"Elite Men",13,65,,,,,,,,,,,,,,,
"Finn Iles",,"Specialized Gravity","Elite Men",233000,,"Elite Men",3,180,"Elite Men",2,210,"Elite Men",12,68,"Elite Men",3,180,,,,"Elite Men",10,75,"Elite Men",9,80,,,,"Elite Men",3,180,"Elite Men",2,210,"Elite Men",4,160,"Elite Men",5,140
"Fourie Van Wyk",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fred Lariviere",,"Outlaw United","Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frida Helena Ronning",,"Union - Forged by Steel City Media","Elite Women",40000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Fynn Brands",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabriel Kvalseth",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabriel Neron",,,"Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
